,Brian,,,Amy,,,Emma,,,Joanna,,,Kendra,,,Kimberly,,,Salli,,,Joey,,,Matthew,,,Geraint,,
count,slash,speed,,slash,speed,,slash,speed,,slash,speed,,slash,speed,,slash,speed,,slash,speed,,slash,speed,,slash,speed,,slash,speed,
0,1.149333,1.149333,,1.1755,1.1755,,1.1755,1.1755,,1.123167,1.123167,,1.227667,1.227667,,1.201667,1.201667,,1.1755,1.1755,,1.123167,1.123167,,1.1755,1.1755,,0.992667,0.992667,
1,1.358333,1.436667,,1.3845,1.4105,,1.358333,1.4105,,1.306,1.306,,1.436667,1.567333,,1.4105,1.4105,,1.3845,1.515,,1.332167,1.201667,,1.3845,1.332167,,1.201667,1.28,
2,1.541167,1.28,,1.567333,1.489,,1.567333,1.253833,,1.515,1.201667,,1.6195,1.332167,,1.6195,1.358333,,1.5935,1.306,,1.515,1.253833,,1.5935,1.253833,,1.3845,1.123167,
3,1.750167,1.3845,,1.776333,1.515,,1.776333,1.332167,,1.724,1.306,,1.8285,1.4105,,1.802333,1.515,,1.776333,1.332167,,1.724,1.332167,,1.776333,1.28,,1.5935,1.253833,
4,1.959167,1.567333,,1.985333,1.5935,,1.959167,1.3845,,1.906833,1.462833,,2.0375,1.462833,,2.011333,1.645667,,1.985333,1.3845,,1.906833,1.4105,,1.985333,1.306,,1.802333,1.4105,
5,2.142,1.645667,,2.168167,1.6195,,2.168167,1.436667,,2.115833,1.567333,,2.220333,1.541167,,2.220333,1.750167,,2.194167,1.436667,,2.115833,1.489,,2.168167,1.358333,,1.985333,1.541167,
6,2.351,1.724,,2.377167,1.671833,,2.377167,1.489,,2.324833,1.698,,2.429333,1.6195,,2.403167,1.854667,,2.377167,1.489,,2.324833,1.567333,,2.377167,1.3845,,2.194167,1.645667,
7,2.56,1.776333,,2.586,1.671833,,2.56,1.541167,,2.507667,1.802333,,2.638333,1.671833,,2.612167,1.959167,,2.586,1.541167,,2.507667,1.671833,,2.586,1.4105,,2.403167,1.776333,
8,2.742833,1.854667,,2.769,1.724,,2.769,1.5935,,2.716667,1.906833,,2.821167,1.750167,,2.821167,2.089833,,2.795,1.5935,,2.716667,1.802333,,2.769,1.436667,,2.586,1.906833,
9,2.951833,1.959167,,2.978,1.802333,,2.978,1.645667,,2.925667,2.011333,,3.030167,1.802333,,3.004,2.194167,,2.978,1.645667,,2.925667,1.880833,,2.978,1.489,,2.795,2.011333,
10,3.160833,2.115833,,3.160833,1.854667,,3.160833,1.698,,3.1085,2.115833,,3.239167,1.880833,,3.213,2.298667,,3.186833,1.698,,3.1085,1.985333,,3.186833,1.515,,2.978,2.115833,
11,3.343667,2.194167,,3.369833,1.906833,,3.369833,1.750167,,3.3175,2.220333,,3.422,1.933,,3.422,2.429333,,3.395833,1.750167,,3.3175,2.115833,,3.369833,1.567333,,3.186833,2.272667,
12,3.552667,2.2465,,3.578667,1.959167,,3.578667,1.802333,,3.5265,2.324833,,3.631,2.011333,,3.604833,2.533833,,3.578667,1.802333,,3.5265,2.194167,,3.578667,1.5935,,3.395833,2.377167,
13,3.761667,2.272667,,3.761667,2.0375,,3.761667,1.854667,,3.709333,2.429333,,3.813833,2.063667,,3.813833,2.638333,,3.787667,1.854667,,3.709333,2.298667,,3.787667,1.6195,,3.578667,2.507667,
14,3.9445,2.272667,,3.9705,2.168167,,3.9705,1.906833,,3.918333,2.533833,,4.022833,2.142,,4.022833,2.742833,,3.996667,1.933,,3.918333,2.429333,,3.9705,1.671833,,3.787667,2.586,
15,4.1535,2.4555,,4.1795,2.220333,,4.1795,1.959167,,4.127333,2.638333,,4.231833,2.220333,,4.205667,2.8735,,4.1795,1.985333,,4.127333,2.507667,,4.1795,1.698,,3.996667,2.716667,
16,4.362333,2.533833,,4.362333,2.324833,,4.362333,2.011333,,4.310167,2.742833,,4.414667,2.272667,,4.414667,2.978,,4.3885,2.0375,,4.310167,2.612167,,4.3885,1.724,,4.1795,2.821167,
17,4.545333,2.638333,,4.571333,2.403167,,4.571333,2.063667,,4.519167,2.847333,,4.623667,2.351,,4.5975,3.082333,,4.5975,2.089833,,4.519167,2.716667,,4.571333,1.750167,,4.3885,2.925667,
18,4.754167,2.716667,,4.780333,2.403167,,4.780333,2.115833,,4.728167,2.951833,,4.832667,2.403167,,4.8065,3.213,,4.780333,2.142,,4.728167,2.821167,,4.780333,1.802333,,4.5975,3.056333,
19,4.937167,2.795,,4.963167,2.507667,,4.963167,2.168167,,4.911,3.082333,,5.0155,2.481667,,5.0155,3.3175,,4.989333,2.194167,,4.911,2.925667,,4.989333,1.8285,,4.780333,3.134667,
